broadcast_date,channel,filename,start_sec,end_sec,title,summary,tags,segment
20260828,ch6,CH6_20260828_060000.mp4,0.000,29.480,番組オープニング,朝6時の番組開始。武田基起アナと尾形杏奈アナが挨拶し、コメンテーターの丸田佳奈さんを紹介した。,番組|オープニング|挨拶|武田基起|尾形杏奈|丸田佳奈,opening
20260828,ch6,CH6_20260828_060000.mp4,29.480,168.000,東海地方 大雨・線状降水帯予測と未明の雷,東海地方は岐阜県を中心にまとまった雨が降り、夕方にかけて大雨の恐れ。未明には名古屋市中心部で雷を伴う強い雨が降った。気象庁は昨日夕方、愛知・岐阜・三重・静岡の4県に線状降水帯半日前予測を発表し、昼前にかけて大雨災害の危険度が急激に高まる恐れがあるとして警戒を呼びかけている。スタジオでも未明の雷についてコメントがあった。,天気|大雨|線状降水帯|東海地方|岐阜|名古屋|雷,weather
20260828,ch6,CH6_20260828_060000.mp4,168.000,247.000,けさのラインナップ,本日の番組ラインナップを紹介。東海地方の大雨情報、石川・富山の大雨特別警報、名古屋での事件、草間彌生氏の死去などのニュース、プロ野球ドラゴンズ、モナキの映画アフレコ、東山動植物園のホッキョクグマ、岐阜関市の長ナスに関する情報が伝えられた。,番組|ラインナップ|ニュース|スポーツ|エンタメ|天気,opening
20260828,ch6,CH6_20260828_060000.mp4,247.000,252.000,提供クレジット,番組スポンサーの提供クレジット。,提供|スポンサー,sponsor
20260828,ch6,CH6_20260828_060000.mp4,252.000,402.800,CM,CM中,CM|広告,cm
20260828,ch6,CH6_20260828_060000.mp4,402.800,443.600,交通情報,JR高山線で北陸地区の大雨の影響により、特急ひだの一部列車が運休。高速道路は通行止めなく順調。,交通|鉄道|高速道路|JR高山線|運休|大雨,news
20260828,ch6,CH6_20260828_060000.mp4,443.600,554.000,セ・リーグ混戦状況と他球団試合結果,時刻は6時7分、スポーツニュース。ドラゴンズは今シーズン初の6連勝をかけて阪神戦に臨む。金丸投手が先発し好投、福永選手は3試合連続ホームランを記録。セ・リーグはクライマックスシリーズ進出争いが白熱し、3位から6位までが1.5ゲーム差の大混戦。他球団の試合では、巨人がヤクルトに初回猛攻で大勝、DeNAが広島を突き放し連敗を5で止めた。,スポーツ|野球|セ・リーグ|ドラゴンズ|巨人|DeNA|クライマックスシリーズ,sports
20260828,ch6,CH6_20260828_060000.mp4,554.000,695.200,CM,CM中,CM|広告,cm
20260828,ch6,CH6_20260828_060000.mp4,695.200,916.360,中日ドラゴンズ対阪神タイガース戦ハイライト,中日ドラゴンズは6連勝をかけて首位阪神タイガースと対戦。先発の金丸投手が好投を見せ、福永選手が2試合連続ホームラン、サノー選手が勝ち越しタイムリーを放つも、8回に橋本投手が逆転ホームランを許し敗戦。連勝は5で止まった。,スポーツ|野球|ドラゴンズ|阪神|金丸夢斗|福永裕基|セ・リーグ,sports
20260828,ch6,CH6_20260828_060000.mp4,916.360,1001.000,プロ野球 セ・リーグ順位争いと中日ドラゴンズ3連戦展望,阪神戦敗戦後のセ・リーグ順位を確認。ドラゴンズは5位で3位DeNAとの差は2.5ゲーム差。解説者も混戦ぶりを指摘し、今日から始まるDeNAとの3連戦が重要だと強調。高橋宏斗、小笠原、柳の好調な先発陣で3連勝を目指す。,スポーツ|野球|セ・リーグ|ドラゴンズ|DeNA|順位|高橋宏斗|小笠原|柳,sports
